,African,European,India,Malay,SouthChineseDai,SouthwestChineseYi,EastChinese,Japanese,NorthChineseOroqen,Yakut,American,
Japanese,0.001,0.001,0.001,2.171,0.001,0.001,0.001,96.782,1.039,0.001,0.001,
Lahu,0.309,0.001,0.001,11.272,37.645,18.439,22.999,2.128,5.311,1.622,0.274,
Lahu,0.344,0.001,0.001,18.487,40.153,19.176,14.433,2.079,2.66,1.997,0.669,
Lahu,0.001,0.001,0.001,20.524,38.126,40.516,0.001,0.001,0.001,0.827,0.001,
Lahu,0.403,0.001,0.001,18.534,42.823,20.235,14.646,0.043,3.213,0.101,0.001,
Lahu,0.433,0.001,0.001,19.71,40.331,20.2,14.068,0.894,2.778,1.582,0.001,
Lahu,0.001,0.001,0.553,19.103,37.915,22.123,15.919,0.475,2.553,0.999,0.36,
Lahu,0.424,0.001,0.269,16.855,36.557,18.54,21.223,0.031,5.085,1.013,0.001,
Lahu,0.096,0.041,0.001,14.572,35.666,18.813,23.041,2.231,4.716,0.821,0.001,
Lahu,0.003,0.115,0.001,15.145,39.024,21.819,17.142,1.589,3.094,2.067,0.001,
Lahu,0.001,0.001,0.001,15.567,35.631,45.493,2.63,0.001,0.673,0.001,0.001,
Mongola-Tu-Xibo,0.001,3.192,1.002,0.001,0.001,16.541,25.68,11.228,34.233,8.052,0.069,
Mongola-Tu-Xibo,0.087,1.264,2.239,0.962,0.001,19.936,32.236,4.739,34.125,4.409,0.001,
Mongola-Tu-Xibo,0.001,0.799,1.108,2.508,0.47,7.132,43.417,8.723,30.506,2.611,2.724,
Mongola-Tu-Xibo,0.001,5.364,2.449,0.001,0.001,2.308,0.001,0.001,70.799,16.467,2.607,
Mongola-Tu-Xibo,0.355,4.131,1.17,0.001,3.162,17.195,32.678,3.903,31.552,5.852,0.001,
Mongola-Tu-Xibo,0.001,1.468,1.764,0.001,2.93,12.496,27.878,9.292,40.316,0.497,3.357,
Mongola-Tu-Xibo,0.001,2.547,5.231,0.736,0.001,7.249,0.001,0.001,58.767,23.218,2.248,
